연별 기후평년값(1991-2020),,,,,,,,,,,,,
ANNUAL NORMALS,,,,,,,,,,,,,
지점번호,지점명,"해면기압
(hpa)","기온(℃)
Temperature",,,상대습도(%),"평균증기압
(hPa)","평균풍속
(m/s)","운량
(1/10)","강수량
(mm)","증발량
(mm)","일조시간
(hr)",
,,,평균기온,최고기온,최저기온,,,,,,,,
247,남원,1016.8 ,12.5 ,19.1 ,6.8 ,70.7 ,12.2 ,1.4 ,,1353.2 ,,2229.5 ,
248,장수,1016.8 ,10.7 ,17.1 ,5.1 ,73.7 ,11.3 ,1.7 ,,1486.0 ,,2071.5 ,
252,영광군,1016.6 ,13.1 ,18.3 ,8.5 ,73.7 ,13.3 ,2.2 ,,1277.8 ,,2252.9 ,
253,김해시,1016.6 ,15.1 ,20.3 ,10.9 ,62.0 ,13.0 ,2.1 ,,1375.8 ,,2434.1 ,
254,순창군,1016.8 ,12.8 ,18.9 ,7.5 ,71.0 ,12.4 ,1.7 ,,1473.3 ,,2262.7 ,
257,양산시,1017.1 ,14.9 ,20.3 ,10.3 ,62.8 ,12.8 ,2.4 ,,1483.3 ,,2276.4 ,
259,강진군,1017.0 ,13.8 ,19.1 ,9.1 ,71.8 ,13.4 ,2.5 ,,1442.1 ,,2232.7 ,
260,장흥,1016.4 ,13.3 ,19.2 ,8.1 ,71.9 ,13.0 ,2.0 ,,1471.8 ,,2136.7 ,
261,해남,1016.7 ,13.5 ,19.0 ,8.4 ,73.1 ,13.3 ,2.3 ,,1282.0 ,,2230.9 ,
262,고흥,1016.4 ,13.7 ,19.2 ,8.6 ,68.6 ,12.6 ,1.6 ,,1449.3 ,,2195.9 ,
263,의령군,1016.2 ,13.2 ,20.0 ,7.5 ,72.4 ,13.1 ,1.3 ,,1355.0 ,,2223.1 ,
264,함양군,1016.4 ,12.8 ,19.5 ,7.1 ,73.1 ,12.9 ,1.3 ,,1325.1 ,,2175.4 ,
268,진도군,,13.9 ,18.6 ,9.6 ,,,2.2 ,,1374.7 ,,,
271,봉화,1015.8 ,10.0 ,17.2 ,3.7 ,69.5 ,10.4 ,1.3 ,,1175.6 ,,2197.8 ,
272,영주,1016.0 ,11.7 ,17.6 ,6.2 ,64.9 ,10.8 ,2.5 ,,1334.0 ,,2279.9 ,
273,문경,1016.3 ,11.9 ,17.8 ,6.6 ,64.6 ,11.1 ,1.8 ,,1294.9 ,,2221.0 ,
276,청송군,1016.4 ,11.2 ,18.2 ,5.4 ,69.7 ,11.4 ,1.4 ,,967.2 ,,2129.2 ,
277,영덕,1016.6 ,13.1 ,18.3 ,8.5 ,64.9 ,11.8 ,2.7 ,,1112.2 ,,2382.4 ,
278,의성,1016.4 ,11.6 ,19.2 ,5.1 ,67.9 ,11.2 ,1.2 ,,1011.2 ,,2174.3 ,
279,구미,1016.5 ,13.1 ,19.2 ,7.8 ,65.1 ,11.8 ,1.5 ,,1113.1 ,,2204.1 ,
281,영천,1016.4 ,12.8 ,19.2 ,7.1 ,64.3 ,11.4 ,1.8 ,,1085.9 ,,2213.4 ,
283,경주시,1016.2 ,13.4 ,19.6 ,8.0 ,66.9 ,12.4 ,2.5 ,,1121.2 ,,2261.7 ,
284,거창,1016.5 ,12.0 ,18.9 ,6.0 ,68.3 ,11.5 ,1.3 ,,1294.7 ,,2288.6 ,
285,합천,1016.5 ,13.2 ,20.1 ,7.5 ,65.1 ,11.7 ,1.3 ,,1289.9 ,,2189.7 ,
288,밀양,1016.4 ,13.6 ,20.3 ,7.9 ,66.4 ,12.4 ,1.4 ,,1226.6 ,,2236.9 ,
289,산청,1016.9 ,13.0 ,19.3 ,7.8 ,64.9 ,11.7 ,1.7 ,,1556.2 ,,2199.0 ,
294,거제,1015.8 ,14.4 ,19.1 ,10.2 ,65.2 ,12.8 ,1.7 ,,1930.3 ,,2216.0 ,
295,남해,1016.8 ,14.3 ,19.3 ,10.1 ,65.4 ,12.8 ,1.6 ,,1921.2 ,,2328.4 ,
400,강남,,13.6 ,18.0 ,9.9 ,,,1.7 ,,1320.9 ,,,
