기준일자,지역,발전소,발전량(Wh)
2021-10-21,울산,울산 수소연료전지,13895236
2021-10-21,울산,울산 연료전지 2단계,99267880
2021-10-21,일산,일산연료전지#4,86980800
2021-10-21,호남,호남연료전지,352382856
2021-10-22,동해,동해연료전지,354873792
2021-10-22,영광,영광지산풍력,1209600
2021-10-22,울산,울산 수소연료전지,12899202
2021-10-22,울산,울산 연료전지 2단계,99199184
2021-10-22,일산,일산연료전지#4,86990400
2021-10-22,호남,호남연료전지,351902628
2021-10-23,동해,동해연료전지,354670512
2021-10-23,영광,영광지산풍력,0
2021-10-23,울산,울산 수소연료전지,12858708
2021-10-23,울산,울산 연료전지 2단계,99058169
2021-10-23,일산,일산연료전지#4,86995200
2021-10-23,호남,호남연료전지,351643530
2021-10-24,동해,동해연료전지,354192048
2021-10-24,영광,영광지산풍력,0
2021-10-24,울산,울산 수소연료전지,12756504
2021-10-24,울산,울산 연료전지 2단계,98815909
2021-10-24,일산,일산연료전지#4,86990400
2021-10-24,호남,호남연료전지,351535212
2021-10-25,동해,동해연료전지,353325168
2021-10-25,영광,영광지산풍력,0
2021-10-25,울산,울산 수소연료전지,12711192
2021-10-25,울산,울산 연료전지 2단계,98617045
2021-10-25,일산,일산연료전지#4,86995200
2021-10-25,호남,호남연료전지,351324246
2021-10-26,동해,동해연료전지,354856208
2021-10-26,영광,영광지산풍력,0
2021-10-26,울산,울산 수소연료전지,12682261
2021-10-26,울산,울산 연료전지 2단계,98696590
2021-10-26,일산,일산연료전지#4,86990400
2021-10-26,호남,호남연료전지,351383046
2021-10-27,동해,동해연료전지,354813088
2021-10-27,영광,영광지산풍력,0
2021-10-27,울산,울산 수소연료전지,12506776
2021-10-27,울산,울산 연료전지 2단계,98382019
2021-10-27,일산,일산연료전지#4,77174400
2021-10-27,호남,호남연료전지,350842086
2021-10-28,동해,동해연료전지,354472384
2021-10-28,영광,영광지산풍력,0
2021-10-28,울산,울산 수소연료전지,13502805
2021-10-28,울산,울산 연료전지 2단계,97817956
2021-10-28,일산,일산연료전지#4,82089600
2021-10-28,호남,호남연료전지,349737024
2021-10-29,동해,동해연료전지,355325264
2021-10-29,영광,영광지산풍력,0
2021-10-29,울산,울산 수소연료전지,13276217
2021-10-29,울산,울산 연료전지 2단계,98754439
2021-10-29,일산,일산연료전지#4,87888000
2021-10-29,호남,호남연료전지,351986628
2021-10-30,동해,동해연료전지,354832800
2021-10-30,영광,영광지산풍력,0
2021-10-30,울산,울산 수소연료전지,12956097
2021-10-30,울산,울산 연료전지 2단계,98429027
2021-10-30,일산,일산연료전지#4,87840000
2021-10-30,호남,호남연료전지,352584120
2021-10-31,동해,동해연료전지,353847536
2021-10-31,영광,영광지산풍력,0
2021-10-31,울산,울산 수소연료전지,12863529
2021-10-31,울산,울산 연료전지 2단계,97825187
2021-10-31,일산,일산연료전지#4,87427200
2021-10-31,호남,호남연료전지,352459212
2021-11-01,동해,동해연료전지,353913952
2021-11-01,영광,영광지산풍력,0
2021-11-01,울산,울산 수소연료전지,12589698
2021-11-01,울산,울산 연료전지 2단계,97966201
2021-11-01,일산,일산연료전지#4,87561600
2021-11-01,호남,호남연료전지,352411080
2021-11-02,동해,동해연료전지,355035520
2021-11-02,영광,영광지산풍력,1168800
2021-11-02,울산,울산 수소연료전지,12602233
2021-11-02,울산,울산 연료전지 2단계,97995131
2021-11-02,일산,일산연료전지#4,83395200
2021-11-02,호남,호남연료전지,351714846
2021-11-03,동해,동해연료전지,354904480
2021-11-03,영광,영광지산풍력,1252800
2021-11-03,울산,울산 수소연료전지,12475919
2021-11-03,울산,울산 연료전지 2단계,98092753
2021-11-03,일산,일산연료전지#4,78384000
2021-11-03,호남,호남연료전지,350942466
2021-11-04,동해,동해연료전지,354081168
2021-11-04,영광,영광지산풍력,441600
2021-11-04,울산,울산 수소연료전지,12312004
2021-11-04,울산,울산 연료전지 2단계,98888224
2021-11-04,일산,일산연료전지#4,78801600
2021-11-04,호남,호남연료전지,350891058
2021-11-05,동해,동해연료전지,354949280
2021-11-05,영광,영광지산풍력,458400
2021-11-05,울산,울산 수소연료전지,11869432
2021-11-05,울산,울산 연료전지 2단계,98877376
2021-11-05,일산,일산연료전지#4,80980800
2021-11-05,호남,호남연료전지,351051876
2021-11-06,동해,동해연료전지,354831232
2021-11-06,영광,영광지산풍력,4219200
2021-11-06,울산,울산 수소연료전지,11957176
2021-11-06,울산,울산 연료전지 2단계,98873760
2021-11-06,일산,일산연료전지#4,87576000
2021-11-06,호남,호남연료전지,351024240
2021-11-07,동해,동해연료전지,354785200
2021-11-07,영광,영광지산풍력,5347200
2021-11-07,울산,울산 수소연료전지,12092167
2021-11-07,울산,울산 연료전지 2단계,98805060
2021-11-07,일산,일산연료전지#4,87552000
2021-11-07,호남,호남연료전지,351995994
2021-11-08,동해,동해연료전지,353990784
2021-11-08,영광,영광지산풍력,63398400
2021-11-08,울산,울산 수소연료전지,11785544
2021-11-08,울산,울산 연료전지 2단계,98725518
2021-11-08,일산,일산연료전지#4,87240000
2021-11-08,호남,호남연료전지,351933330
2021-11-09,동해,동해연료전지,353738112
2021-11-09,영광,영광지산풍력,65875200
2021-11-09,울산,울산 수소연료전지,11025745
2021-11-09,울산,울산 연료전지 2단계,98696588
2021-11-09,일산,일산연료전지#4,87225600
2021-11-09,호남,호남연료전지,351797754
2021-11-10,동해,동해연료전지,353525872
2021-11-10,영광,영광지산풍력,62623200
2021-11-10,울산,울산 수소연료전지,10943792
2021-11-10,울산,울산 연료전지 2단계,98447099
2021-11-10,일산,일산연료전지#4,87403200
2021-11-10,호남,호남연료전지,351814344
2021-11-11,동해,동해연료전지,354987136
2021-11-11,영광,영광지산풍력,42451200
2021-11-11,울산,울산 수소연료전지,10706591
2021-11-11,울산,울산 연료전지 2단계,99101562
2021-11-11,일산,일산연료전지#4,87297600
2021-11-11,호남,호남연료전지,351769572
2021-11-12,동해,동해연료전지,354796736
2021-11-12,영광,영광지산풍력,40891200
2021-11-12,울산,울산 수소연료전지,10399015
2021-11-12,울산,울산 연료전지 2단계,99195565
2021-11-12,일산,일산연료전지#4,87230400
2021-11-12,호남,호남연료전지,352089486
2021-11-13,동해,동해연료전지,353909248
2021-11-13,영광,영광지산풍력,1128000
2021-11-13,울산,울산 수소연료전지,10298732
2021-11-13,울산,울산 연료전지 2단계,99184724
2021-11-13,일산,일산연료전지#4,87240000
2021-11-13,호남,호남연료전지,351767556
2021-11-14,동해,동해연료전지,353674160
2021-11-14,영광,영광지산풍력,540000
2021-11-14,울산,울산 수소연료전지,9932331
2021-11-14,울산,울산 연료전지 2단계,99047326
2021-11-14,일산,일산연료전지#4,87225600
2021-11-14,호남,호남연료전지,351163386
2021-11-15,동해,동해연료전지,354261376
2021-11-15,영광,영광지산풍력,0
2021-11-15,울산,울산 수소연료전지,10159887
2021-11-15,울산,울산 연료전지 2단계,99018399
2021-11-15,일산,일산연료전지#4,87321600
2021-11-15,호남,호남연료전지,351112230
2021-11-16,동해,동해연료전지,355066096
2021-11-16,영광,영광지산풍력,993600
2021-11-16,울산,울산 수소연료전지,11780723
2021-11-16,울산,울산 연료전지 2단계,99043710
2021-11-16,일산,일산연료전지#4,87340800
2021-11-16,호남,호남연료전지,351145662
2021-11-17,동해,동해연료전지,355213712
2021-11-17,영광,영광지산풍력,249600
2021-11-17,울산,울산 수소연료전지,4290737
2021-11-17,울산,울산 연료전지 2단계,99094328
2021-11-17,일산,일산연료전지#4,83342400
2021-11-17,호남,호남연료전지,351142386
2021-11-18,동해,동해연료전지,354205824
2021-11-18,영광,영광지산풍력,626400
2021-11-18,울산,울산 수소연료전지,0
2021-11-18,울산,울산 연료전지 2단계,98975008
2021-11-18,일산,일산연료전지#4,86836800
2021-11-18,호남,호남연료전지,350955150
2021-11-19,동해,동해연료전지,353710560
2021-11-19,영광,영광지산풍력,115200
2021-11-19,울산,울산 수소연료전지,7643297
2021-11-19,울산,울산 연료전지 2단계,98385634
2021-11-19,일산,일산연료전지#4,86702400
2021-11-19,호남,호남연료전지,350442498
2021-11-20,동해,동해연료전지,353791424
2021-11-20,영광,영광지산풍력,1459200
2021-11-20,울산,울산 수소연료전지,14219214
2021-11-20,울산,울산 연료전지 2단계,97720328
2021-11-20,일산,일산연료전지#4,86390400
2021-11-20,호남,호남연료전지,350756196
2021-11-21,동해,동해연료전지,353818864
2021-11-21,영광,영광지산풍력,2791200
2021-11-21,울산,울산 수소연료전지,13846064
2021-11-21,울산,울산 연료전지 2단계,97673320
2021-11-21,일산,일산연료전지#4,86083200
2021-11-21,호남,호남연료전지,350667030
2021-11-22,동해,동해연료전지,353774736
2021-11-22,영광,영광지산풍력,70327200
2021-11-22,울산,울산 수소연료전지,13873059
2021-11-22,울산,울산 연료전지 2단계,97713096
2021-11-22,일산,일산연료전지#4,52804800
2021-11-22,호남,호남연료전지,350799330
2021-11-23,동해,동해연료전지,354209632
2021-11-23,영광,영광지산풍력,53731200
2021-11-23,울산,울산 수소연료전지,13854740
2021-11-23,울산,울산 연료전지 2단계,99022014
2021-11-23,일산,일산연료전지#4,60859200
2021-11-23,호남,호남연료전지,351204840
2021-11-24,동해,동해연료전지,353835328
2021-11-24,영광,영광지산풍력,33756000
2021-11-24,울산,울산 수소연료전지,13811349
2021-11-24,울산,울산 연료전지 2단계,99065403
2021-11-24,일산,일산연료전지#4,79929600
2021-11-24,호남,호남연료전지,350929782
2021-11-25,동해,동해연료전지,353629808
2021-11-25,영광,영광지산풍력,10406400
2021-11-25,울산,울산 수소연료전지,13713968
2021-11-25,울산,울산 연료전지 2단계,98956928
2021-11-25,일산,일산연료전지#4,85804800
2021-11-25,호남,호남연료전지,350701260
2021-11-26,동해,동해연료전지,353754240
2021-11-26,영광,영광지산풍력,528000
2021-11-26,울산,울산 수소연료전지,13671540
2021-11-26,울산,울산 연료전지 2단계,99022016
2021-11-26,일산,일산연료전지#4,85814400
2021-11-26,호남,호남연료전지,350894754
2021-11-27,동해,동해연료전지,353136224
2021-11-27,영광,영광지산풍력,2750400
2021-11-27,울산,울산 수소연료전지,13557761
2021-11-27,울산,울산 연료전지 2단계,99144949
